scorer,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200
bodyparts,Nose,Nose,Nose,Head,Head,Head,MainBody,MainBody,MainBody,Butt,Butt,Butt,TailTip,TailTip,TailTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,605.69635,172.92628,0.84140307,591.86615,176.25783,0.8607425,542.8842,186.93793,0.8103211,504.84042,196.26018,0.782201,460.32922,249.77975,0.9389898
1,613.8198,172.92628,0.88042974,600.6879,176.25783,0.92175126,556.6024,186.93793,0.71189874,510.87137,196.26018,0.79320294,460.33572,249.77975,0.95981145
2,614.0806,172.92628,0.8812135,600.9318,176.25783,0.9122485,556.60803,186.93793,0.70380837,510.93164,196.26018,0.78606266,460.46848,249.77975,0.9571625
3,620.2568,170.94052,0.8584669,604.6203,174.18271,0.7702445,559.40015,185.44086,0.76952654,520.1237,196.11575,0.8126707,462.7846,246.00685,0.9832019
4,622.99207,167.51378,0.8258153,608.6804,171.4333,0.8720268,559.8851,184.37148,0.73815596,524.01935,196.11575,0.77427727,468.46024,246.00685,0.9736447
5,626.09393,164.00995,0.8308713,612.66376,167.8521,0.9161878,561.913,183.1217,0.7615284,531.38965,196.11575,0.70451707,473.4318,246.00685,0.95082176
6,630.51575,163.0255,0.86042345,616.3904,165.98927,0.9166666,572.719,180.26222,0.7503516,536.05273,195.74176,0.6564769,482.21097,248.65268,0.977569
7,635.886,162.93181,0.87763184,621.3705,164.36151,0.83390754,573.75146,180.10777,0.7327855,539.36896,195.74176,0.70656574,484.19196,248.65268,0.96575063
8,640.7084,162.93181,0.8604657,625.44104,163.67017,0.8328957,586.85236,174.65672,0.6957814,544.5498,194.6538,0.6793598,487.3157,248.65268,0.9250419
9,646.4562,162.87358,0.9323984,630.9938,163.52402,0.85393095,588.7974,172.49405,0.6475112,548.3295,190.65344,0.716349,490.3171,244.50197,0.94078946
10,651.83484,162.87358,0.9160815,635.2605,163.35196,0.8266988,591.29974,171.71243,0.7627511,551.3385,185.02582,0.8266072,490.75977,235.52713,0.9814152
11,656.03973,162.87358,0.8946567,641.86646,162.19725,0.8090874,592.84064,171.71243,0.7129278,554.01056,180.84233,0.91320574,492.5019,230.05666,1.0
12,659.0874,162.81017,0.9020931,644.25525,161.52133,0.7987976,593.6748,171.71243,0.8323324,557.8647,180.06738,0.85138285,494.90958,230.05666,1.0
13,662.36536,162.11533,0.8807901,647.22205,160.12514,0.76535296,594.54047,171.71243,0.80389625,560.38727,180.0461,0.86309624,498.20453,229.51389,0.9341345
14,665.3131,161.91418,0.8425254,649.6085,159.07907,0.7064483,595.2283,171.71243,0.6764921,562.37805,179.82635,0.8468293,500.7635,229.0062,0.96555126
15,666.97437,158.17119,0.8182443,651.4085,157.38246,0.72702616,595.5786,171.541,0.6505774,563.7741,179.87297,0.8213878,501.17303,229.0062,0.99793935
16,669.89557,155.2746,0.8314882,655.86646,129.0229,0.7314462,605.53864,169.58296,0.5952403,565.34827,179.87297,0.8005906,501.63647,228.84544,0.98851746
17,671.87726,154.54688,0.7164219,658.88824,128.64351,0.79026085,605.7981,169.58296,0.54993194,567.03326,179.87297,0.73096204,506.92877,228.84544,1.0
18,674.6382,154.54688,0.75295234,661.3547,128.64351,0.7758241,606.44855,169.58296,0.6191012,567.70264,181.46863,0.65881306,509.0463,228.84544,1.0
19,677.3339,154.54688,0.8209251,663.3051,128.64351,0.8148516,607.58105,170.24959,0.59377056,569.7407,181.46863,0.56845355,515.75366,229.78978,0.95242256
20,681.8979,155.18457,0.8478056,666.91943,128.48631,0.8006296,607.58105,170.24959,0.538149,573.53076,181.46863,0.58781004,517.4684,230.37636,0.97409
21,684.4558,155.35135,0.84942627,669.17035,128.42326,0.78259593,608.10443,170.31978,0.52555555,576.03577,181.46863,0.62453556,520.8824,230.71635,0.9307527
22,684.4558,155.46141,0.82319826,669.17035,128.42326,0.7553201,608.10443,170.6896,0.5163153,576.03577,181.44345,0.6191129,520.8824,231.66096,0.92197895
